date,A,B,C,D,E
2020-01-01,-0.001,0.002,-0.0094,0.0135,-0.0031
2020-01-02,0.0235,0.0072,0.0035,-0.0043,0.0035
2020-01-03,0.0049,0.0173,-0.0055,-0.0069,0.0023
2020-01-04,-0.0056,-0.0007,0.0068,0.0118,-0.0026
2020-01-05,0.0132,-0.0033,-0.0044,0.0033,0.017
2020-01-06,-0.0072,-0.0005,0.0154,0.0146,0.0064
2020-01-07,0.0071,0.0122,-0.0033,0.0117,-0.0122
2020-01-08,-0.0146,0.007,0.0004,0.0051,0.0033
2020-01-09,-0.0083,-0.0008,0.0095,-0.0042,-0.0026
2020-01-10,0.007,0.0086,-0.0068,-0.0122,0.008
2020-01-11,0.0124,0.0049,0.0048,0.0006,-0.0035
2020-01-12,0.0067,0.0127,0.0135,0.0163,0.0012
2020-01-13,0.0038,-0.0023,-0.0099,0.0086,0.0055
2020-01-14,0.002,0.0011,0.0045,-0.0089,0.0081
2020-01-15,-0.0098,0.0005,0.0051,0.0081,-0.0064
2020-01-16,-0.0022,-0.0092,0.0093,0.0106,-0.0003
2020-01-17,0.0004,0.0067,-0.0069,-0.0046,-0.0013
2020-01-18,0.0156,0.0063,-0.0076,0.0078,-0.0026
2020-01-19,0.0084,0.004,0.0072,0.0067,0.0144
2020-01-20,-0.0126,0.0019,0.0054,-0.0077,0.0048
2020-01-21,0.0082,-0.0087,0.005,0.0103,-0.0068
2020-01-22,0.0011,0.0002,0.0058,0.0127,0.0084
2020-01-23,-0.0018,0.0009,-0.0024,0.019,0.0169
2020-01-24,0.0111,-0.0032,0.0049,0.0186,0.0092
2020-01-25,0.0153,0.0025,0.0053,-0.0105,-0.0086
2020-01-26,0.0143,0.0076,-0.0027,-0.0053,-0.0014
2020-01-27,-0.0034,0.021,0.0179,0.0122,0.0109
2020-01-28,0.0019,0.0056,0.0068,0.0122,-0.003
2020-01-29,0.0083,0.0063,-0.0065,0.0122,0.0051
2020-01-30,0.0148,0.0033,0.0083,0.0522,0.0074
2020-01-31,0.0002,-0.0133,-0.0048,0.0129,-0.0045
2020-02-01,0.0031,0.0038,0.0093,0.0196,0.0016
2020-02-02,-0.0061,0.0045,0.0123,0.0174,-0.0207
2020-02-03,-0.007,0.0262,-0.0036,0.0138,-0.0052
2020-02-04,0.0131,0.0023,0.0107,0.0022,0.0002
2020-02-05,0.0186,0.0067,0.0063,0.0151,-0.0067
2020-02-06,0.0043,0.0037,0.0096,-0.0033,0.0134
2020-02-07,0.015,-0.0065,0.0182,0.0032,-0.008
2020-02-08,0.0086,0.0143,0.001,0.0002,-0.0011
2020-02-09,-0.0015,0.0108,-0.003,0.007,0.0029
2020-02-10,0.0086,0.0111,-0.0041,0.0338,0.0121
2020-02-11,0.0204,-0.0042,-0.0035,-0.0164,-0.0081
2020-02-12,0.0046,0.0166,0.0024,0.0142,0.0101
2020-02-13,0.0206,-0.0086,0.0057,-0.0134,0.0021
2020-02-14,-0.0212,0.0093,0.0052,0.0003,-0.0049
2020-02-15,0.0132,0.0237,0.0096,0.0191,0.0052
2020-02-16,0.0059,-0.0049,0.0031,0.0068,0.0034
2020-02-17,0.002,-0.0011,0.0146,-0.0069,-0.0022
2020-02-18,0.0059,0.0049,0.0009,-0.0026,0.0025
2020-02-19,-0.0149,-0.0005,0.0248,0.0142,-0.0007
